ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2018,2018-09-28,01:00,3,Estádio Municipal Paulo Machado de Carvalho,Wagner Reway,12985.0,20120.0,Santos FC,Vasco da Gama,Cuca,Alberto Valentim,9.0,4.0,36300000.0,11250000.0,26.5,26.9,1.0,1.0,1.0,0.0,10.0,6.0,11.0,17.0,17.0,14.0,1.0,2.0,3.0,0.0,3.0,2.0,6.0,7.0
2018,2018-08-30,12:30,15,Estádio Presidente Vargas,Dyorgines Jose Padovani,10755.0,20268.0,Ceará SC,EC Bahia,Lisca,Enderson Moreira,20.0,14.0,8250000.0,11700000.0,30.4,26.7,0.0,2.0,0.0,1.0,11.0,2.0,15.0,23.0,24.0,15.0,4.0,13.0,0.0,1.0,5.0,3.0,3.0,0.0
2018,2018-08-30,12:30,15,Arena da Baixada,Rodrigo D,12907.0,42372.0,Atlético-PR,Vasco da Gama,Tiago Nunes,Alberto Valentim,19.0,8.0,10250000.0,9950000.0,26.1,26.8,1.0,0.0,0.0,0.0,8.0,5.0,16.0,14.0,15.0,17.0,3.0,3.0,1.0,1.0,4.0,3.0,5.0,9.0
2018,2018-08-11,09:00,18,Estádio Presidente Vargas,Luiz Flávio de Oliveira,13772.0,20268.0,Ceará SC,Atlético-PR,Lisca,Tiago Nunes,19.0,18.0,7250000.0,10700000.0,28.9,25.5,0.0,0.0,0.0,0.0,3.0,9.0,15.0,15.0,15.0,15.0,3.0,4.0,0.0,0.0,4.0,3.0,6.0,8.0
2018,2018-08-12,12:00,18,Arena Fonte Nova,Péricles Bassols Pegado Cortez,19100.0,55000.0,EC Bahia,América-MG,Enderson Moreira,Adilson Batista,11.0,10.0,12350000.0,9450000.0,28.3,31.1,1.0,0.0,0.0,0.0,9.0,2.0,13.0,13.0,14.0,15.0,2.0,5.0,2.0,1.0,6.0,2.0,3.0,2.0
2018,2018-08-12,04:00,18,Estádio Raimundo Sampaio,Rodrigo D,22062.0,23018.0,Atlético-MG,Santos FC,Thiago Larghi,Cuca,5.0,16.0,11200000.0,40750000.0,27.5,25.8,3.0,1.0,1.0,1.0,3.0,4.0,17.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0
2018,2018-08-12,04:00,18,Estádio Durival Britto e Silva,Raphael Claus,5443.0,20083.0,Paraná,Botafogo,Rogério Micale,Zé Ricardo,20.0,12.0,6650000.0,14050000.0,27.4,25.2,1.0,1.0,0.0,0.0,4.0,4.0,11.0,9.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,6.0
2018,2018-08-12,09:00,18,Arena Condá,Grazianni Maciel Rocha,10070.0,22600.0,Chapecoense,Corinthians,Guto Ferreira,Osmar Loss,17.0,7.0,10050000.0,18050000.0,27.7,24.7,2.0,1.0,0.0,1.0,7.0,5.0,15.0,20.0,21.0,16.0,3.0,3.0,1.0,1.0,5.0,4.0,7.0,5.0
2018,2018-08-12,09:00,18,Estádio Jornalista Mário Filho,Dewson Fernando Freitas da Silva,55276.0,78838.0,Flamengo,Cruzeiro,Maurício Barbieri,Mano Menezes,2.0,8.0,48750000.0,16800000.0,27.6,28.3,1.0,0.0,1.0,0.0,5.0,2.0,29.0,17.0,19.0,30.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0
2018,2018-08-12,09:00,18,Estádio Adelmar da Costa Carvalho,Anderson Daronco,16050.0,35000.0,Sport Recife,São Paulo,Claudinei Oliveira,Diego Aguirre,14.0,1.0,11200000.0,31000000.0,29.5,31.0,1.0,3.0,0.0,1.0,2.0,3.0,7.0,15.0,16.0,7.0,3.0,6.0,0.0,1.0,7.0,6.0,5.0,7.0
