ano_campeonato,time,vitorias_mandante|bigger_is_better=true|kind=any,gols_mandante|bigger_is_better=true|kind=offensive,gols_1_tempo_mandante|bigger_is_better=true|kind=offensive,gols_tomados_mandante|bigger_is_better=false|kind=defensive,escanteios_mandante|bigger_is_better=true|kind=offensive,faltas_mandante|bigger_is_better=false|kind=defensive,defesas_mandante|bigger_is_better=true|kind=defensive,impedimentos_mandante|bigger_is_better=false|kind=offensive,chutes_mandante|bigger_is_better=true|kind=offensive,chutes_fora_mandante|bigger_is_better=false|kind=offensive,chutes_bola_parada_mandante|bigger_is_better=true|kind=offensive,vitorias_visitante|bigger_is_better=true|kind=any,gols_visitante|bigger_is_better=true|kind=offensive,gols_1_tempo_visitante|bigger_is_better=true|kind=offensive,gols_tomados_visitante|bigger_is_better=false|kind=defensive,escanteios_visitante|bigger_is_better=true|kind=offensive,faltas_visitante|bigger_is_better=false|kind=defensive,defesas_visitante|bigger_is_better=true|kind=defensive,impedimentos_visitante|bigger_is_better=false|kind=offensive,chutes_visitante|bigger_is_better=true|kind=offensive,chutes_fora_visitante|bigger_is_better=false|kind=offensive,chutes_bola_parada_visitante|bigger_is_better=true|kind=offensive,publico_mandante|bigger_is_better=true|kind=any,vitorias_total|bigger_is_better=true|kind=any,gols_total|bigger_is_better=true|kind=offensive,gols_1_tempo_total|bigger_is_better=true|kind=offensive,gols_tomados_total|bigger_is_better=false|kind=defensive,escanteios_total|bigger_is_better=true|kind=offensive,faltas_total|bigger_is_better=false|kind=defensive,defesas_total|bigger_is_better=true|kind=defensive,impedimentos_total|bigger_is_better=false|kind=offensive,chutes_total|bigger_is_better=true|kind=offensive,chutes_fora_total|bigger_is_better=false|kind=offensive,chutes_bola_parada_total|bigger_is_better=true|kind=offensive
2018,América-MG,3,9.0,4.0,8.0,46.0,140.0,41.0,19.0,30.0,38.0,109.0,1,3.0,0.0,16.0,34.0,168.0,46.0,18.0,31.0,33.0,168.0,6452.7,4,12.0,4.0,24.0,80.0,308.0,87.0,37.0,61.0,71.0,277.0
2018,Atlético-MG,6,15.0,8.0,6.0,75.0,154.0,36.0,13.0,38.0,60.0,152.0,3,11.0,6.0,12.0,58.0,175.0,31.0,16.0,39.0,71.0,190.0,20639.2,9,26.0,14.0,18.0,133.0,329.0,67.0,29.0,77.0,131.0,342.0
2018,Atlético-PR,11,29.0,12.0,5.0,78.0,175.0,35.0,20.0,77.0,64.0,178.0,2,8.0,2.0,13.0,54.0,150.0,43.0,13.0,37.0,48.0,148.0,12988.916666666666,13,37.0,14.0,18.0,132.0,325.0,78.0,33.0,114.0,112.0,326.0
2018,Botafogo,6,13.0,10.0,10.0,60.0,170.0,33.0,15.0,48.0,47.0,189.0,2,8.0,3.0,15.0,46.0,150.0,32.0,9.0,29.0,44.0,145.0,15686.818181818182,8,21.0,13.0,25.0,106.0,320.0,65.0,24.0,77.0,91.0,334.0
2018,Ceará SC,5,11.0,5.0,6.0,58.0,153.0,23.0,8.0,53.0,59.0,172.0,1,8.0,4.0,12.0,39.0,158.0,39.0,11.0,35.0,41.0,158.0,33946.9,6,19.0,9.0,18.0,97.0,311.0,62.0,19.0,88.0,100.0,330.0
2018,Chapecoense,7,13.0,3.0,10.0,69.0,158.0,34.0,8.0,40.0,60.0,195.0,1,4.0,2.0,17.0,41.0,182.0,40.0,14.0,30.0,45.0,164.0,10925.636363636364,8,17.0,5.0,27.0,110.0,340.0,74.0,22.0,70.0,105.0,359.0
2018,Corinthians,4,9.0,2.0,9.0,56.0,126.0,33.0,14.0,32.0,40.0,161.0,0,4.0,2.0,13.0,50.0,152.0,38.0,10.0,33.0,37.0,186.0,33450.0,4,13.0,4.0,22.0,106.0,278.0,71.0,24.0,65.0,77.0,347.0
2018,Cruzeiro,6,15.0,8.0,6.0,60.0,145.0,26.0,16.0,47.0,54.0,139.0,1,5.0,4.0,12.0,35.0,148.0,30.0,14.0,25.0,22.0,172.0,16471.6,7,20.0,12.0,18.0,95.0,293.0,56.0,30.0,72.0,76.0,311.0
2018,EC Bahia,6,11.0,2.0,3.0,67.0,139.0,30.0,10.0,51.0,50.0,155.0,2,10.0,4.0,16.0,50.0,224.0,46.0,15.0,33.0,41.0,209.0,21697.8,8,21.0,6.0,19.0,117.0,363.0,76.0,25.0,84.0,91.0,364.0
2018,EC Vitória,3,11.0,3.0,15.0,50.0,183.0,37.0,8.0,40.0,55.0,222.0,1,5.0,2.0,16.0,39.0,141.0,42.0,11.0,16.0,37.0,174.0,10937.181818181818,4,16.0,5.0,31.0,89.0,324.0,79.0,19.0,56.0,92.0,396.0
2018,Flamengo,7,14.0,7.0,5.0,79.0,192.0,29.0,7.0,48.0,58.0,157.0,4,17.0,4.0,12.0,65.0,146.0,31.0,11.0,58.0,59.0,172.0,50302.8,11,31.0,11.0,17.0,144.0,338.0,60.0,18.0,106.0,117.0,329.0
2018,Fluminense,5,8.0,5.0,5.0,68.0,141.0,31.0,23.0,51.0,52.0,164.0,1,5.0,3.0,20.0,33.0,148.0,34.0,7.0,32.0,32.0,168.0,11776.90909090909,6,13.0,8.0,25.0,101.0,289.0,65.0,30.0,83.0,84.0,332.0
2018,Grêmio,7,24.0,10.0,10.0,70.0,128.0,18.0,18.0,64.0,52.0,154.0,3,6.0,2.0,9.0,43.0,134.0,49.0,14.0,40.0,26.0,157.0,23070.8,10,30.0,12.0,19.0,113.0,262.0,67.0,32.0,104.0,78.0,311.0
2018,Internacional,8,18.0,5.0,8.0,84.0,150.0,31.0,21.0,50.0,46.0,196.0,2,10.0,7.0,9.0,52.0,145.0,44.0,12.0,32.0,32.0,132.0,37222.27272727273,10,28.0,12.0,17.0,136.0,295.0,75.0,33.0,82.0,78.0,328.0
2018,Palmeiras,10,25.0,9.0,6.0,68.0,147.0,18.0,19.0,54.0,52.0,166.0,5,12.0,5.0,4.0,44.0,147.0,37.0,15.0,32.0,43.0,160.0,35289.3,15,37.0,14.0,10.0,112.0,294.0,55.0,34.0,86.0,95.0,326.0
2018,Paraná,0,6.0,3.0,13.0,44.0,140.0,23.0,11.0,27.0,51.0,138.0,1,3.0,1.0,20.0,38.0,145.0,49.0,10.0,21.0,39.0,169.0,3935.0,1,9.0,4.0,33.0,82.0,285.0,72.0,21.0,48.0,90.0,307.0
2018,Santos FC,6,15.0,7.0,5.0,81.0,170.0,30.0,23.0,58.0,44.0,200.0,3,14.0,5.0,15.0,38.0,158.0,37.0,7.0,31.0,26.0,165.0,11717.363636363636,9,29.0,12.0,20.0,119.0,328.0,67.0,30.0,89.0,70.0,365.0
2018,Sport Recife,5,9.0,2.0,10.0,62.0,159.0,30.0,21.0,37.0,55.0,184.0,1,8.0,4.0,23.0,41.0,153.0,47.0,9.0,27.0,39.0,191.0,17781.454545454544,6,17.0,6.0,33.0,103.0,312.0,77.0,30.0,64.0,94.0,375.0
2018,São Paulo,4,10.0,4.0,7.0,60.0,165.0,31.0,27.0,31.0,50.0,189.0,2,9.0,5.0,12.0,52.0,180.0,38.0,19.0,37.0,44.0,148.0,35995.545454545456,6,19.0,9.0,19.0,112.0,345.0,69.0,46.0,68.0,94.0,337.0
2018,Vasco da Gama,4,13.0,3.0,10.0,57.0,153.0,40.0,9.0,47.0,36.0,177.0,1,7.0,4.0,12.0,53.0,162.0,36.0,13.0,37.0,46.0,194.0,20212.5,5,20.0,7.0,22.0,110.0,315.0,76.0,22.0,84.0,82.0,371.0
2019,Athletico-PR,4,11.0,6.0,7.0,37.0,352.0,20.0,9.0,46.0,35.0,87.0,3,14.0,4.0,12.0,36.0,138.0,18.0,3.0,50.0,27.0,99.0,15977.5,7,25.0,10.0,19.0,73.0,490.0,38.0,12.0,96.0,62.0,186.0
2019,Atlético-MG,5,16.0,10.0,12.0,52.0,366.0,23.0,2.0,61.0,73.0,113.0,3,9.0,2.0,12.0,44.0,91.0,34.0,5.0,57.0,33.0,93.0,15479.0,8,25.0,12.0,24.0,96.0,457.0,57.0,7.0,118.0,106.0,206.0
2019,Avaí FC,0,2.0,1.0,6.0,46.0,124.0,22.0,5.0,64.0,49.0,126.0,0,2.0,0.0,14.0,42.0,149.0,41.0,14.0,62.0,50.0,166.0,6525.125,0,4.0,1.0,20.0,88.0,273.0,63.0,19.0,126.0,99.0,292.0
2019,Botafogo,5,9.0,6.0,7.0,37.0,127.0,39.0,6.0,57.0,37.0,161.0,2,3.0,0.0,5.0,15.0,60.0,32.0,5.0,18.0,21.0,113.0,19858.3,7,12.0,6.0,12.0,52.0,187.0,71.0,11.0,75.0,58.0,274.0
2019,CSA,1,3.0,1.0,10.0,25.0,79.0,38.0,7.0,39.0,38.0,92.0,0,0.0,0.0,14.0,15.0,80.0,20.0,3.0,16.0,22.0,72.0,14349.833333333334,1,3.0,1.0,24.0,40.0,159.0,58.0,10.0,55.0,60.0,164.0
2019,Ceará SC,4,11.0,6.0,6.0,64.0,132.0,26.0,10.0,90.0,59.0,121.0,1,7.0,3.0,12.0,45.0,371.0,35.0,14.0,63.0,41.0,134.0,23275.555555555555,5,18.0,9.0,18.0,109.0,503.0,61.0,24.0,153.0,100.0,255.0
2019,Chapecoense,1,10.0,7.0,13.0,52.0,135.0,44.0,4.0,75.0,64.0,129.0,2,7.0,2.0,14.0,27.0,356.0,27.0,4.0,52.0,30.0,114.0,6964.111111111111,3,17.0,9.0,27.0,79.0,491.0,71.0,8.0,127.0,94.0,243.0
2019,Corinthians,4,11.0,5.0,9.0,40.0,299.0,16.0,6.0,66.0,45.0,132.0,1,8.0,4.0,10.0,33.0,109.0,32.0,5.0,61.0,35.0,126.0,32916.0,5,19.0,9.0,19.0,73.0,408.0,48.0,11.0,127.0,80.0,258.0
2019,Cruzeiro,2,5.0,0.0,6.0,61.0,124.0,23.0,11.0,97.0,66.0,121.0,1,8.0,5.0,16.0,45.0,123.0,34.0,11.0,65.0,33.0,121.0,25217.8,3,13.0,5.0,22.0,106.0,247.0,57.0,22.0,162.0,99.0,242.0
2019,EC Bahia,4,10.0,5.0,8.0,42.0,116.0,27.0,5.0,55.0,40.0,93.0,1,6.0,3.0,14.0,39.0,118.0,36.0,11.0,67.0,53.0,104.0,24555.625,5,16.0,8.0,22.0,81.0,234.0,63.0,16.0,122.0,93.0,197.0
2019,Flamengo,8,24.0,9.0,7.0,71.0,104.0,23.0,7.0,92.0,42.0,98.0,4,9.0,4.0,8.0,54.0,107.0,34.0,3.0,57.0,34.0,104.0,53444.375,12,33.0,13.0,15.0,125.0,211.0,57.0,10.0,149.0,76.0,202.0
2019,Fluminense,3,9.0,5.0,5.0,44.0,331.0,19.0,13.0,42.0,45.0,89.0,2,13.0,6.0,20.0,41.0,145.0,50.0,9.0,69.0,39.0,167.0,22185.0,5,22.0,11.0,25.0,85.0,476.0,69.0,22.0,111.0,84.0,256.0
2019,Fortaleza,8,17.0,9.0,6.0,33.0,120.0,27.0,12.0,73.0,47.0,151.0,1,7.0,2.0,14.0,20.0,70.0,29.0,6.0,37.0,22.0,94.0,31666.8,9,24.0,11.0,20.0,53.0,190.0,56.0,18.0,110.0,69.0,245.0
2019,Goiás EC,6,15.0,8.0,12.0,42.0,148.0,31.0,15.0,86.0,61.0,123.0,2,6.0,2.0,11.0,39.0,80.0,30.0,7.0,45.0,32.0,102.0,14761.222222222223,8,21.0,10.0,23.0,81.0,228.0,61.0,22.0,131.0,93.0,225.0
2019,Grêmio,3,9.0,3.0,10.0,67.0,74.0,28.0,9.0,77.0,43.0,91.0,3,13.0,8.0,13.0,50.0,337.0,35.0,16.0,65.0,39.0,146.0,18552.714285714286,6,22.0,11.0,23.0,117.0,411.0,63.0,25.0,142.0,82.0,237.0
2019,Internacional,6,16.0,7.0,6.0,51.0,348.0,28.0,18.0,83.0,40.0,114.0,1,4.0,2.0,7.0,37.0,107.0,31.0,15.0,58.0,51.0,104.0,21790.333333333332,7,20.0,9.0,13.0,88.0,455.0,59.0,33.0,141.0,91.0,218.0
2019,Palmeiras,6,14.0,6.0,1.0,47.0,102.0,21.0,10.0,72.0,44.0,125.0,4,11.0,4.0,9.0,44.0,391.0,46.0,17.0,82.0,58.0,185.0,30728.714285714286,10,25.0,10.0,10.0,91.0,493.0,67.0,27.0,154.0,102.0,310.0
2019,Santos FC,7,18.0,9.0,4.0,39.0,146.0,24.0,14.0,100.0,66.0,139.0,5,8.0,3.0,7.0,42.0,141.0,32.0,13.0,71.0,49.0,137.0,11164.555555555555,12,26.0,12.0,11.0,81.0,287.0,56.0,27.0,171.0,115.0,276.0
2019,São Paulo,4,11.0,3.0,4.0,49.0,135.0,20.0,8.0,77.0,41.0,118.0,3,8.0,5.0,6.0,46.0,139.0,30.0,9.0,49.0,41.0,112.0,29375.88888888889,7,19.0,8.0,10.0,95.0,274.0,50.0,17.0,126.0,82.0,230.0
2019,Vasco da Gama,3,9.0,3.0,7.0,36.0,122.0,18.0,10.0,51.0,39.0,114.0,0,3.0,1.0,12.0,33.0,331.0,29.0,12.0,35.0,44.0,106.0,23625.714285714286,3,12.0,4.0,19.0,69.0,453.0,47.0,22.0,86.0,83.0,220.0
2020,Athletico-PR,8,19.0,8.0,13.0,89.0,289.0,46.0,34.0,219.0,96.0,203.0,6,18.0,11.0,23.0,70.0,309.0,70.0,30.0,191.0,81.0,245.0,0.0,14,37.0,19.0,36.0,159.0,598.0,116.0,64.0,410.0,177.0,448.0
2020,Atlético-GO,6,24.0,16.0,21.0,120.0,301.0,53.0,26.0,237.0,106.0,288.0,6,16.0,2.0,22.0,100.0,272.0,57.0,26.0,206.0,93.0,265.0,0.0,12,40.0,18.0,43.0,220.0,573.0,110.0,52.0,443.0,199.0,553.0
